,STATES,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
0,Illinois-Chicago,539932,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Mid-West
1,Ohio-Cincinnati,264414,828.29,159.95,2.63,13.4,170.5,738.55,52.45,Mid-West
2,Ohio-Cleveland,306401,959.82,175.54,2.68,16.32,187.12,759.56,54.56,Mid-West
3,Michigan-Detroit,326527,1023.0,171.18,2.82,13.32,182.47,707.02,50.03,Mid-West
4,Missouri-Kansas-City,319587,1001.0,180.74,2.57,14.71,192.66,742.3,53.48,Mid-West
5,Wisconsin-Milwaukee,325833,1021.0,179.73,2.49,14.37,191.59,851.13,48.74,Mid-West
6,Minnesota-Minneapolis,363656,1139.0,152.74,2.82,15.65,162.81,784.34,55.07,Mid-West
7,Missouri-St.-Louis,252269,790.25,192.31,2.62,15.34,204.99,766.32,49.98,Mid-West
8,Georgia-Atlanta,327568,1026.0,143.01,2.64,13.53,152.45,806.8499999999998,52.5,Southern
9,Texas-Austin,353246,1107.0,147.04,2.44,11.29,156.74,746.0600000000002,51.88,Southern
10,North-Carolina-Charlotte,296685,929.39,153.91,2.53,12.07,164.06,773.8299999999998,52.34,Southern
11,Texas-Dallas,364003,1140.0,174.87,2.59,12.21,186.4,759.5600000000002,52.65,Southern
12,Texas-Houston,363656,1139.0,185.43,2.54,11.17,197.66,684.51,48.64,Southern
13,Florida-Miami,498986,1563.0,165.31,2.93,13.56,176.22,728.05,52.19,Southern
14,Tennessee-Nashville,316117,990.26,150.73,2.62,12.48,160.67,613.21,53.37,Southern
15,Florida-Orlando,308483,966.34,186.44,2.45,13.14,198.74,662.0,48.69,Southern
16,North-Carolina-Raleigh,241512,756.55,161.62,2.39,14.57,172.29,772.33,54.82,Southern
17,Florida-Tampa,266843,835.9,194.99,2.77,12.87,207.85,737.8,49.93,Southern
18,District-of-Columbia-Washington,859866,2694.0,162.13,2.73,14.15,172.82,724.3,50.44,Southern
19,Washington-Seattle,673874,2111.0,206.39,3.47,16.31,220.0,932.2,69.64,Western
20,Oregon-Portland,620783,1945.0,130.77,2.78,14.82,139.4,803.85,60.53,Western
21,Arizona-Phoenix,330344,1035.0,161.12,2.39,12.53,171.75,733.29,48.23,Western
22,Colorado-Denver,463245,1451.0,156.76,2.75,12.6,167.1,790.34,55.28,Western
23,Massachusetts-Boston,717943,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Northeast
24,New-York-New-York,1628124,5100.0,210.08,3.47,18.81,223.94,863.15,76.07,Northeast
25,Pennsylvania-Pittsburgh,317505,994.61,184.43,2.78,16.21,196.59,704.03,50.13,Northeast
26,Pennsylvania-Philadelphia,449365,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeast
27,Maryland-Baltimore,509743,1597.0,179.56,2.69,15.74,191.41,687.52,54.4,Northeast
28,California-San-Francisco,1146835,3593.0,182.92,3.51,16.54,194.98,901.42,62.84,California
29,California-Los-Angeles,788384,2470.0,180.74,3.42,14.42,192.66,824.87,54.97,California
30,California-San-Diego,817185,2560.0,192.64,3.36,14.53,205.35,806.85,52.55,California
31,California-San-Jose,860907,2697.0,210.75,2.91,15.54,224.65,871.39,55.07,California
