,CITY,STATE,1BEDROOM
0,San Francisco, California,3600
1,San Jose, California,2536
2,New York, New York,2200
3,Washington, DC,2172
4,Boston, Massachusetts,2025
5,Los Angeles, California,2014
6,Miami, Florida,2000
7,Pittsburgh, Pennsylvania,1850
8,Honolulu, Hawaii,1795
9,Seattle, Washington,1795
10,San Diego, California,1760
11,Anaheim, California,1606
12,Chicago, Illinois,1595
13,Denver, Colorado,1436
14,Minneapolis, Minnesota,1435
15,Nashville, Tennessee,1395
16,Atlanta, Georgia,1387
17,Houston, Texas,1308
18,New Orleans, Louisiana,1298
19,Philadelphia, Pennsylvania,1295
20,Dallas, Texas,1271
21,Charlotte, North Carolina,1265
22,Baltimore, Maryland,1175
23,Tampa, Florida,1100
24,Austin, Texas,1100
25,Portland, Oregon,1095
26,Anchorage, Alaska,995
27,Sacramento, California,995
28,Virginia Beach, Virginia,975
29,Phoenix, Arizona,909
30,Jacksonville, Florida,896
31,Las Vegas, Nevada,875
32,Newark, New Jersey,850
33,Memphis, Tennessee,835
34,San Antonio, Texas,830
35,Kansas City, Missouri,795
36,Omaha, Nebraska,759
37,Colorado Springs, Colorado,750
38,Milwaukee, Wisconsin,750
39,Louisville, Kentucky,750
40,Columbus, Ohio,750
41,Indianapolis, Indiana,732
42,Albuquerque, New Mexico,715
43,St. Louis, Missouri,700
44,Oklahoma City, Oklahoma,650
45,El Paso, Texas,600
46,Tuscon, Arizona,560
47,Detroit, Michigan,550
48,Cleveland, Ohio,525
49,Wichita, Kansas,470
