STATES,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
Georgia-Atlanta,327568,1026.0,143.01,2.64,13.530000000000001,152.45,806.8499999999999,52.5,Southern
Texas-Austin,353246,1107.0,147.04,2.44,11.290000000000001,156.74,746.0600000000001,51.88,Southern
North-Carolina-Charlotte,296685,929.39,153.91,2.53,12.07,164.06,773.8299999999999,52.34,Southern
Texas-Dallas,364003,1140.0,174.87,2.59,12.209999999999999,186.4,759.5600000000001,52.65,Southern
Texas-Houston,363656,1139.0,185.43,2.54,11.17,197.66,684.51,48.64,Southern
Florida-Miami,498986,1563.0,165.31,2.93,13.559999999999999,176.22,728.05,52.19,Southern
Tennessee-Nashville,316117,990.26,150.73,2.62,12.48,160.67,613.21,53.37,Southern
Florida-Orlando,308483,966.34,186.44,2.45,13.14,198.74,662.0,48.69,Southern
North-Carolina-Raleigh,241512,756.55,161.62,2.39,14.57,172.29,772.33,54.82,Southern
Florida-Tampa,266843,835.9,194.99,2.77,12.87,207.85,737.8,49.93,Southern
District-of-Columbia-Washington,859866,2694.0,162.13,2.73,14.15,172.82,724.3,50.44,Southern
