MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
327568,1026,143.01,2.64,13.53,152.45,806.85,52.5,Southern
353246,1107,147.04,2.44,11.29,156.74,746.06,51.88,Southern
296685,929.39,153.91,2.53,12.07,164.06,773.83,52.34,Southern
364003,1140,174.87,2.59,12.21,186.4,759.56,52.65,Southern
363656,1139,185.43,2.54,11.17,197.66,684.51,48.64,Southern
498986,1563,165.31,2.93,13.56,176.22,728.05,52.19,Southern
316117,990.26,150.73,2.62,12.48,160.67,613.21,53.37,Southern
308483,966.34,186.44,2.45,13.14,198.74,662,48.69,Southern
241512,756.55,161.62,2.39,14.57,172.29,772.33,54.82,Southern
266843,835.9,194.99,2.77,12.87,207.85,737.8,49.93,Southern
859866,2694,162.13,2.73,14.15,172.82,724.3,50.44,Southern
539932,1691,151.23,3.3,15.89,161.21,760.32,59.09,Mid-West
264414,828.29,159.95,2.63,13.4,170.5,738.55,52.45,Mid-West
306401,959.82,175.54,2.68,16.32,187.12,759.56,54.56,Mid-West
326527,1023,171.18,2.82,13.32,182.47,707.02,50.03,Mid-West
319587,1001,180.74,2.57,14.71,192.66,742.3,53.48,Mid-West
325833,1021,179.73,2.49,14.37,191.59,851.13,48.74,Mid-West
363656,1139,152.74,2.82,15.65,162.81,784.34,55.07,Mid-West
252269,790.25,192.31,2.62,15.34,204.99,766.32,49.98,Mid-West
